"CÓDIGO DE LA SERIE",DTCCBCEUSDEUR.B,DTCCBCEJPYEUR.B,DTCCBCECHFEUR.B,DTCCBCEGBPEUR.B,DTCCBCEBGNEUR.B,DTCCBCECZKEUR.B,DTCCBCEDKKEUR.B,DTCCBCEHUFEUR.B,DTCCFMIXDREUR.B,DTCCBCEPLNEUR.B,DTCCBCERONEUR.B,DTCCBCESEKEUR.B,DTCCBCEISKEUR.B,DTCCBCENOKEUR.B,DTCCBCEHRKEUR.B,DTCCBCERUBEUR.B,DTCCBCETRYEUR.B,DTCCBCEAUDEUR.B,DTCCBCEBRLEUR.B,DTCCBCECADEUR.B,DTCCBCECNYEUR.B,DTCCBCEHKDEUR.B,DTCCBCEIDREUR.B,DTCCBCEILSEUR.B,DTCCBCEINREUR.B,DTCCBCEKRWEUR.B,DTCCBCEMXNEUR.B,DTCCBCEMYREUR.B,DTCCBCENZDEUR.B,DTCCBCEPHPEUR.B,DTCCBCESGDEUR.B,DTCCBCETHBEUR.B,DTCCBCEZAREUR.B
"14 OCT 2015",1.1410,136.4800,1.0901,0.74180,1.9558,27.1130,7.4612,311.0400,0.8068,4.2378,4.4145,9.2716,"_",9.2400,7.6280,71.9750,3.3500,1.5722,4.4198,1.4816,7.2435,8.8429,15534.0400,4.3949,74.1465,1308.9600,18.8927,4.8055,1.6938,52.4470,1.5815,40.5330,15.3094
"15 OCT 2015",1.1439,135.2300,1.0873,0.73970,1.9558,27.0840,7.4612,309.3900,0.8067,4.2291,4.4176,9.3274,"_",9.2170,7.6200,71.0735,3.2975,1.5612,4.3425,1.4756,7.2583,8.8652,15389.3600,4.3703,74.1533,1282.8900,18.7577,4.7166,1.6683,52.3410,1.5752,40.2170,14.9957
"16 OCT 2015",1.1360,135.2500,1.0809,0.73560,1.9558,27.0810,7.4597,309.6800,0.8040,4.2383,4.4167,9.3557,"_",9.2005,7.6285,70.2640,3.2972,1.5654,4.3792,1.4685,7.2159,8.8041,15359.8400,4.3526,73.6891,1284.8000,18.7145,4.7462,1.6737,52.2500,1.5714,40.1080,14.9339
"19 OCT 2015",1.1333,135.2900,1.0834,0.73170,1.9558,27.0830,7.4592,309.5100,0.8025,4.2367,4.4183,9.3940,"_",9.1850,7.6265,70.3984,3.2849,1.5581,4.4185,1.4671,7.2082,8.7832,15439.6800,4.3611,73.4435,1280.5700,18.6360,4.7695,1.6668,52.2430,1.5685,40.0730,14.9509
"20 OCT 2015",1.1373,136.1600,1.0823,0.73520,1.9558,27.0800,7.4597,310.3300,0.8041,4.2466,4.4252,9.4235,"_",9.2355,7.6267,70.6090,3.2882,1.5612,4.3898,1.4788,7.2201,8.8141,15565.4200,4.3955,73.9899,1283.9300,18.7711,4.8534,1.6664,52.7410,1.5791,40.2680,15.0119
"21 OCT 2015",1.1354,136.3000,1.0864,0.73490,1.9558,27.0790,7.4596,311.2500,0.8036,4.2757,4.4315,9.4219,"_",9.2625,7.6165,71.3405,3.2989,1.5707,4.4577,1.4764,7.2088,8.7995,15610.1100,4.3824,73.9444,1292.6500,18.9044,4.8669,1.6869,52.7300,1.5815,40.3750,15.2444
"22 OCT 2015",1.1313,135.4900,1.0886,0.73140,1.9558,27.0690,7.4596,311.1200,0.8015,4.2849,4.4300,9.4207,"_",9.2740,7.6210,70.7525,3.2683,1.5692,4.4791,1.4847,7.1929,8.7677,15402.1200,4.3611,73.6774,1284.9300,18.7683,4.8463,1.6704,52.6430,1.5744,40.2670,15.3007
"23 OCT 2015",1.1084,133.8000,1.0793,0.71955,1.9558,27.0740,7.4597,309.9500,0.7915,4.2529,4.4269,9.4079,"_",9.2525,7.6243,68.5882,3.1868,1.5250,4.3168,1.4483,7.0390,8.5901,15057.7000,4.3146,71.8562,1249.3300,18.2027,4.6862,1.6306,51.5650,1.5408,39.2540,14.9007
"26 OCT 2015",1.1011,133.2600,1.0823,0.71840,1.9558,27.0880,7.4603,310.1700,0.7884,4.2678,4.4367,9.3814,"_",9.2260,7.6265,68.8030,3.1774,1.5182,4.2481,1.4482,6.9943,8.5335,14989.9600,4.2776,71.4685,1247.3800,18.1891,4.6521,1.6244,51.3080,1.5347,39.0340,14.9430
"27 OCT 2015",1.1061,133.0600,1.0880,0.72140,1.9558,27.0980,7.4600,312.8500,0.7908,4.2919,4.4370,9.4065,"_",9.3630,7.6225,71.6121,3.2185,1.5299,4.3377,1.4622,7.0265,8.5724,15099.0500,4.2755,71.8563,1257.4400,18.3502,4.7280,1.6261,51.7890,1.5422,39.2700,15.2010
"28 OCT 2015",1.1085,133.3800,1.0899,0.72480,1.9558,27.1340,7.4599,311.7800,0.7927,4.2936,4.4330,9.3358,"_",9.4200,7.6125,71.2750,3.2047,1.5539,4.3062,1.4643,7.0484,8.5909,15003.9800,4.2916,72.0535,1254.8000,18.3058,4.7338,1.6505,51.8980,1.5448,39.3180,15.0531
"29 OCT 2015",1.0930,132.3000,1.0851,0.71670,1.9558,27.1130,7.4576,311.4500,0.7846,4.2699,4.4343,9.3574,"_",9.3670,7.6050,70.0745,3.2100,1.5446,4.3022,1.4411,6.9460,8.4709,14953.2200,4.2436,71.4429,1251.7600,18.1941,4.7414,1.6360,51.4200,1.5374,38.9910,15.1247
"30 OCT 2015",1.1017,132.8800,1.0900,0.71820,1.9558,27.0900,7.4578,309.9000,0.7887,4.2644,4.4350,9.3866,"_",9.3930,7.5860,70.5690,3.2128,1.5544,4.2724,1.4515,6.9703,8.5382,15070.6600,4.2589,72.0155,1253.9800,18.2497,4.7350,1.6369,51.4920,1.5445,39.1940,15.2222
"02 NOV 2015",1.1032,133.0200,1.0885,0.71320,1.9558,27.0970,7.4585,312.1900,0.7892,4.2532,4.4383,9.3843,"_",9.3370,7.5855,70.7262,3.0950,1.5457,4.2724,1.4450,6.9914,8.5500,15062.2400,4.2679,72.3534,1254.6200,18.2111,4.7441,1.6356,51.7130,1.5466,39.2760,15.1851
"03 NOV 2015",1.0976,132.6500,1.0869,0.71315,1.9558,27.1000,7.4587,313.4800,0.7867,4.2540,4.4345,9.3935,"_",9.3410,7.5860,69.5445,3.1222,1.5301,4.1813,1.4406,6.9545,8.5065,14936.6800,4.2544,72.1429,1245.4900,18.0939,4.7104,1.6364,51.4950,1.5363,39.0480,15.2542
"04 NOV 2015",1.0935,132.4500,1.0813,0.70940,1.9558,27.0740,7.4594,314.9100,0.7848,4.2377,4.4484,9.3663,"_",9.3275,7.5785,68.3984,3.1052,1.5210,4.1035,1.4292,6.9291,8.4748,14744.3200,4.2390,71.6093,1236.8800,17.9197,4.6638,1.6485,51.1700,1.5286,38.7760,15.1080
"05 NOV 2015",1.0883,132.6500,1.0833,0.71260,1.9558,27.0440,7.4592,313.9700,0.7830,4.2392,4.4486,9.3916,"_",9.3065,7.5545,68.8654,3.1215,1.5233,4.1364,1.4320,6.9065,8.4351,14751.7600,4.2333,71.7100,1240.6600,17.9972,4.6781,1.6450,51.0470,1.5310,38.7020,15.1123
"06 NOV 2015",1.0864,132.4100,1.0830,0.71765,1.9558,27.0260,7.4600,314.0200,0.7831,4.2544,4.4545,9.3839,"_",9.2715,7.5575,69.2906,3.1294,1.5204,4.1206,1.4342,6.9035,8.4212,14719.7600,4.2298,71.5938,1243.2700,18.0924,4.6797,1.6412,50.9810,1.5314,38.6600,15.1534
"09 NOV 2015",1.0776,133.0800,1.0815,0.71410,1.9558,27.0420,7.4600,314.4400,0.7799,4.2630,4.4622,9.3378,"_",9.2875,7.5658,69.4677,3.1450,1.5263,4.0896,1.4285,6.8569,8.3540,14710.0300,4.2222,71.5769,1251.2800,18.1743,4.7344,1.6465,50.8190,1.5350,38.7240,15.3590
"10 NOV 2015",1.0711,131.9800,1.0765,0.70840,1.9558,27.0440,7.4601,312.6900,0.7763,4.2432,4.4520,9.3102,"_",9.2765,7.6000,69.0542,3.1220,1.5189,4.0627,1.4204,6.8121,8.3026,14601.3800,4.1989,70.9818,1242.0600,17.9789,4.6946,1.6360,50.6000,1.5234,38.4850,15.3716
"11 NOV 2015",1.0716,131.9000,1.0783,0.70600,1.9558,27.0220,7.4604,311.7000,0.7766,4.2215,4.4366,9.3290,"_",9.2230,7.6205,69.0860,3.0929,1.5183,4.0013,1.4213,6.8235,8.3060,14551.3200,4.1841,70.9780,1238.5100,17.9011,4.6634,1.6344,50.4750,1.5236,38.4460,15.2006
"12 NOV 2015",1.0726,131.9200,1.0769,0.70640,1.9558,27.0310,7.4602,312.2500,0.7772,4.2270,4.4430,9.3009,"_",9.3240,7.6170,70.9230,3.0938,1.5073,4.0793,1.4293,6.8330,8.3132,14615.9300,4.1748,71.1282,1245.8700,18.0004,4.6819,1.6447,50.4750,1.5246,38.5280,15.2929
"13 NOV 2015",1.0764,132.0400,1.0786,0.70705,1.9558,27.0320,7.4606,312.2300,0.7777,4.2429,4.4452,9.3388,"_",9.3320,7.6155,71.7143,3.0960,1.5077,4.0847,1.4322,6.8607,8.3429,14764.0700,4.1836,71.2000,1257.0700,18.0620,4.7125,1.6483,50.7220,1.5305,38.6430,15.4459
"16 NOV 2015",1.0723,132.0100,1.0791,0.70580,1.9558,27.0310,7.4610,311.9000,0.7763,4.2408,4.4387,9.3206,"_",9.3050,7.6075,70.7850,3.0922,1.5110,4.1144,1.4293,6.8330,8.3109,14776.3300,4.1736,70.7613,1257.5800,17.9456,4.7036,1.6554,50.6440,1.5253,38.5650,15.4300
"17 NOV 2015",1.0670,131.4900,1.0806,0.70170,1.9558,27.0310,7.4613,311.6400,0.7743,4.2475,4.4375,9.3243,"_",9.2370,7.6065,69.8710,3.0593,1.4960,4.0684,1.4200,6.8045,8.2700,14646.2500,4.1655,70.4322,1247.0700,17.8880,4.6861,1.6447,50.3390,1.5175,38.3650,15.1915
"18 NOV 2015",1.0666,131.6500,1.0838,0.70090,1.9558,27.0290,7.4608,310.9400,0.7740,4.2540,4.4467,9.3019,"_",9.2335,7.6215,69.3696,3.0550,1.5028,4.0563,1.4223,6.8054,8.2669,14746.4700,4.1638,70.6304,1247.9000,17.8707,4.6594,1.6505,50.3410,1.5185,38.3920,15.1537
"19 NOV 2015",1.0687,131.6000,1.0893,0.69980,1.9558,27.0250,7.4603,310.2600,0.7739,4.2500,4.4438,9.3089,"_",9.2556,7.6310,69.4086,3.0433,1.4925,4.0154,1.4203,6.8244,8.2829,14714.1800,4.1597,70.7800,1241.5400,17.8206,4.6314,1.6404,50.2590,1.5129,38.3240,15.1806
"20 NOV 2015",1.0688,131.2800,1.0844,0.70100,1.9558,27.0310,7.4602,309.9600,0.7746,4.2411,4.4438,9.2796,"_",9.2035,7.6278,69.3309,3.0165,1.4825,3.9660,1.4229,6.8239,8.2833,14529.5200,4.1473,70.7492,1234.4600,17.7282,4.5803,1.6296,50.2310,1.5093,38.1990,14.8862
"23 NOV 2015",1.0631,130.9200,1.0848,0.70250,1.9558,27.0250,7.4606,311.1300,0.7728,4.2403,4.4490,9.2496,"_",9.1755,7.6280,69.6382,3.0267,1.4793,3.9654,1.4222,6.7926,8.2391,14542.9200,4.1278,70.5699,1232.0200,17.6320,4.5667,1.6322,50.1290,1.5080,38.1330,14.9056
"24 NOV 2015",1.0651,130.5200,1.0832,0.70620,1.9558,27.0330,7.4605,311.8900,0.7736,4.2607,4.4467,9.2622,"_",9.2090,7.6335,70.4467,3.0675,1.4763,3.9550,1.4229,6.8048,8.2547,14618.1700,4.1300,70.6582,1229.4600,17.6141,4.5192,1.6368,50.1450,1.5074,38.1410,14.9808
"25 NOV 2015",1.0586,129.9400,1.0820,0.70175,1.9558,27.0250,7.4606,312.1100,0.7707,4.2603,4.4414,9.2717,"_",9.1810,7.6335,69.7339,3.0472,1.4601,3.9890,1.4108,6.7611,8.2047,14490.9300,4.1098,70.1855,1211.8800,17.5204,4.4619,1.6160,49.8340,1.4888,37.8090,14.9158
"26 NOV 2015",1.0612,130.0600,1.0868,0.70280,1.9558,27.0320,7.4602,312.2700,"_",4.2724,4.4424,9.2756,"_",9.1930,7.6295,69.9537,3.0870,1.4685,3.9935,1.4119,6.7805,8.2247,14609.4800,4.1199,70.6402,1219.3100,17.5522,4.4952,1.6144,50.0130,1.4944,37.9490,15.0956
"27 NOV 2015",1.0580,129.7500,1.0900,0.70290,1.9558,27.0240,7.4605,312.0800,"_",4.2631,4.4467,9.2420,"_",9.1885,7.6230,69.9945,3.0865,1.4689,3.9359,1.4121,6.7650,8.2001,14628.6000,4.1130,70.6449,1221.7600,17.5099,4.5150,1.6189,49.9210,1.4927,37.9720,15.1490
"30 NOV 2015",1.0579,130.2200,1.0903,0.70480,1.9558,27.0300,7.4604,311.5800,0.7710,4.2721,4.4503,9.2070,"_",9.1935,7.6330,69.9854,3.0789,1.4671,4.0709,1.4143,6.7689,8.1989,14645.4300,4.0972,70.5275,1224.2100,17.5569,4.5067,1.6120,49.9210,1.4940,37.9260,15.2894
"01 DIC 2015",1.0600,130.5700,1.0908,0.70360,1.9558,27.0230,7.4602,310.5000,0.7715,4.2679,4.4588,9.2118,"_",9.2015,7.6365,70.7140,3.0625,1.4540,4.1255,1.4118,6.7808,8.2180,14641.9900,4.1114,70.5123,1229.0000,17.5080,4.4880,1.5935,50.0090,1.4947,37.9530,15.3361
"02 DIC 2015",1.0612,130.7000,1.0880,0.70590,1.9558,27.0240,7.4592,311.2300,0.7727,4.2728,4.4573,9.2132,"_",9.1405,7.6410,71.0589,3.0605,1.4489,4.0884,1.4204,6.7903,8.2247,14646.1000,4.1137,70.6171,1234.9600,17.5353,4.4905,1.5945,50.0340,1.4960,38.0040,15.2134
"03 DIC 2015",1.0671,131.5800,1.0840,0.71220,1.9558,27.0360,7.4584,310.9300,0.7790,4.2859,4.4585,9.2250,"_",9.1740,7.6358,72.2652,3.0768,1.4550,4.0476,1.4213,6.8273,8.2701,14733.4400,4.1291,71.1343,1240.2400,17.6658,4.5088,1.6038,50.2690,1.5010,38.2630,15.2736
"04 DIC 2015",1.0902,134.0800,1.0882,0.72010,1.9558,27.0350,7.4603,313.1000,0.7862,4.3131,4.4711,9.2724,"_",9.2495,7.6360,73.6109,3.1747,1.4899,4.1180,1.4540,6.9802,8.4492,15094.8800,4.1816,72.8020,1268.2900,18.2499,4.6052,1.6319,51.3270,1.5216,39.0810,15.7275
"07 DIC 2015",1.0809,133.4000,1.0830,0.71770,1.9558,27.0220,7.4607,311.8500,0.7819,4.3133,4.4803,9.2188,"_",9.3265,7.6380,74.6306,3.1349,1.4849,4.0425,1.4550,6.9266,8.3771,14965.2600,4.1678,72.1325,1264.0000,18.1229,4.5744,1.6238,50.8800,1.5191,38.7610,15.6593
"08 DIC 2015",1.0875,133.6400,1.0820,0.72710,1.9558,27.0220,7.4607,314.5300,0.7857,4.3357,4.4854,9.2236,"_",9.5675,7.6368,75.9200,3.1788,1.5099,4.1297,1.4793,6.9795,8.4286,15299.1600,4.2278,72.6871,1287.0200,18.5495,4.6675,1.6430,51.3390,1.5363,39.1160,15.9518
"09 DIC 2015",1.0941,134.0400,1.0830,0.72510,1.9558,27.0210,7.4609,314.7000,0.7882,4.3404,4.4954,9.2587,"_",9.5370,7.6300,75.9443,3.1939,1.5182,4.1247,1.4847,7.0325,8.4796,15361.8500,4.2494,73.1296,1293.1600,18.5713,4.6806,1.6517,51.6410,1.5383,39.3330,15.9487
"10 DIC 2015",1.0943,132.9700,1.0806,0.72350,1.9558,27.0210,7.4609,316.6100,0.7865,4.3389,4.5030,9.2761,"_",9.4370,7.6290,75.3885,3.1940,1.5000,4.1177,1.4817,7.0416,8.4813,15262.1000,4.2310,73.0416,1287.3700,18.6731,4.6599,1.6191,51.6880,1.5338,39.4220,16.7143
"11 DIC 2015",1.0950,133.0200,1.0819,0.72240,1.9558,27.0230,7.4609,316.6600,0.7866,4.3456,4.5248,9.3007,"_",9.5385,7.6390,76.3280,3.2416,1.5180,4.2190,1.4962,7.0716,8.4868,15441.3000,4.2287,73.3719,1300.9300,18.9987,4.7424,1.6258,51.9600,1.5436,39.5190,17.3954
"14 DIC 2015",1.0983,132.5400,1.0771,0.72600,1.9558,27.0240,7.4610,317.1200,0.7889,4.3658,4.5191,9.3630,"_",9.5695,7.6330,77.9268,3.2837,1.5231,4.2883,1.5106,7.0929,8.5125,15526.4800,4.2379,73.7454,1304.7200,19.1214,4.8000,1.6270,52.1270,1.5490,39.6740,16.8045
"15 DIC 2015",1.0990,132.9700,1.0831,0.72520,1.9558,27.0220,7.4614,316.5000,0.7885,4.3537,4.4960,9.2883,"_",9.4945,7.6390,77.4920,3.2573,1.5200,4.2609,1.5069,7.1017,8.5173,15423.1400,4.2410,73.5161,1292.3400,18.9649,4.7295,1.6186,52.0570,1.5457,39.4270,16.4213
"16 DIC 2015",1.0933,133.1800,1.0824,0.72830,1.9558,27.0300,7.4617,316.4100,0.7876,4.3186,4.5035,9.2991,"_",9.5555,7.6425,76.8689,3.2416,1.5186,4.3042,1.5050,7.0726,8.4732,15293.0200,4.2410,72.9350,1285.0900,18.7228,4.7045,1.6196,51.7540,1.5407,39.4310,16.4708
"17 DIC 2015",1.0841,132.8200,1.0807,0.72660,1.9558,27.0310,7.4612,315.9600,0.7839,4.2959,4.5048,9.3022,"_",9.5110,7.6530,76.5023,3.1674,1.5097,4.2031,1.4995,7.0330,8.4050,15204.8900,4.2200,71.8400,1285.8500,18.3649,4.6780,1.6078,51.4340,1.5351,39.1250,16.2600
"18 DIC 2015",1.0836,131.6000,1.0768,0.72666,1.9558,27.0300,7.4613,314.2500,0.7832,4.2806,4.5160,9.2660,"_",9.5000,7.6495,77.1005,3.1581,1.5206,4.2265,1.5123,7.0274,8.4005,15096.1000,4.2210,71.9550,1280.1600,18.4429,4.6440,1.6160,51.2530,1.5300,39.1750,16.2998
"21 DIC 2015",1.0870,131.9300,1.0804,0.72985,1.9558,27.0280,7.4610,314.1500,0.7850,4.2402,4.5115,9.2930,"_",9.5585,7.6505,77.4488,3.1643,1.5168,4.3219,1.5169,7.0457,8.4247,15015.7500,4.2416,72.0850,1280.0500,18.6067,4.6679,1.6114,51.3880,1.5307,39.2620,16.4115
"22 DIC 2015",1.0952,132.4200,1.0818,0.73620,1.9558,27.0280,7.4615,313.9700,0.7891,4.2377,4.5192,9.2620,"_",9.5430,7.6560,77.8588,3.2280,1.5109,4.3619,1.5242,7.0933,8.4913,14963.0400,4.2700,72.5474,1283.3000,18.7405,4.7093,1.6036,51.7890,1.5379,39.5040,16.5748
"23 DIC 2015",1.0916,131.9200,1.0812,0.73300,1.9558,27.0330,7.4617,314.8500,0.7866,4.2469,4.5240,9.2090,"_",9.5270,7.6415,77.1325,3.2018,1.5115,4.3311,1.5176,7.0709,8.4607,14913.8600,4.2485,72.2748,1281.8600,18.7712,4.7061,1.6117,51.5970,1.5366,39.3630,16.6610
"24 DIC 2015",1.0947,131.8300,1.0806,0.73420,1.9558,27.0280,7.4628,315.9100,0.7880,4.2412,4.5285,9.1900,"_",9.5120,7.6425,76.9500,3.1990,1.5074,4.3142,1.5183,7.0880,8.4849,14922.5400,4.2574,72.4801,1279.4000,18.9109,4.6943,1.6052,51.5040,1.5396,39.4420,16.6252
"25 DIC 2015","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"28 DIC 2015",1.0962,132.0500,1.0838,0.73535,1.9558,27.0220,7.4631,314.1300,0.7884,4.2455,4.5255,9.1863,"_",9.5380,7.6295,78.8666,3.1923,1.5089,4.3034,1.5207,7.1114,8.4957,14967.3700,4.2570,72.4616,1280.8300,18.9347,4.7119,1.6019,51.5660,1.5436,39.6040,16.7163
"29 DIC 2015",1.0952,131.8800,1.0846,0.74005,1.9558,27.0280,7.4629,314.2600,0.7885,4.2364,4.5370,9.1567,"_",9.5115,7.6383,79.4319,3.1878,1.5056,4.2187,1.5241,7.1065,8.4882,15029.8600,4.2540,72.6458,1282.1700,18.8429,4.7055,1.5949,51.5140,1.5467,39.5180,16.7598
"30 DIC 2015",1.0926,131.6600,1.0814,0.73799,1.9558,27.0290,7.4625,313.1500,0.7878,4.2400,4.5296,9.1878,"_",9.6160,7.6370,79.7540,3.1837,1.4990,4.2590,1.5171,7.0910,8.4685,15081.3300,4.2606,72.5350,1284.7900,18.8867,4.6887,1.5959,51.2810,1.5449,39.3340,16.8847
"31 DIC 2015",1.0887,131.0700,1.0835,0.73395,1.9558,27.0230,7.4626,315.9800,0.7857,4.2639,4.5240,9.1895,"_",9.6030,7.6380,80.6736,3.1765,1.4897,4.3117,1.5116,7.0608,8.4376,15039.9900,4.2481,72.0215,1280.7800,18.9145,4.6959,1.5923,50.9990,1.5417,39.2480,16.9530
"01 ENE 2016","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"04 ENE 2016",1.0898,129.7800,1.0891,0.73810,1.9558,27.0230,7.4620,315.3900,0.7854,4.2955,4.5170,9.1696,"_",9.6475,7.6415,79.6738,3.2193,1.5153,4.4023,1.5172,7.1208,8.4464,15194.6300,4.2659,72.6170,1297.8700,18.9353,4.7363,1.6146,51.3930,1.5533,39.4070,16.9558
"05 ENE 2016",1.0746,127.8800,1.0847,0.73235,1.9558,27.0220,7.4605,315.2000,0.7789,4.3084,4.5268,9.2235,"_",9.5880,7.6388,78.8620,3.2009,1.4982,4.3023,1.4976,7.0074,8.3297,14879.4800,4.2144,71.5539,1277.0200,18.5798,4.6670,1.6001,50.3710,1.5310,38.8160,16.7643
"06 ENE 2016",1.0742,127.1900,1.0846,0.73440,1.9558,27.0260,7.4603,314.8100,0.7786,4.3374,4.5224,9.2330,"_",9.6225,7.6405,79.9893,3.2315,1.5187,4.3331,1.5137,7.0388,8.3271,14988.9000,4.2389,71.8242,1289.2000,18.7480,4.7388,1.6166,50.5880,1.5409,38.9170,17.0032
"07 ENE 2016",1.0868,127.7400,1.0875,0.74545,1.9558,27.0300,7.4596,315.7900,0.7851,4.3512,4.5288,9.2780,"_",9.6975,7.6400,81.7776,3.2791,1.5550,4.4001,1.5360,7.1672,8.4259,15139.1800,4.2700,72.7012,1306.8700,19.2176,4.7904,1.6464,51.2260,1.5612,39.4420,17.4987
"08 ENE 2016",1.0861,128.5100,1.0860,0.74519,1.9558,27.0220,7.4598,315.5300,0.7846,4.3523,4.5275,9.2640,"_",9.6810,7.6427,80.4134,3.2491,1.5495,4.3685,1.5321,7.1577,8.4312,15111.3000,4.2597,72.4206,1304.7800,19.3231,4.7615,1.6450,51.2040,1.5606,39.3870,17.3870
"11 ENE 2016",1.0888,128.3300,1.0863,0.74705,1.9558,27.0210,7.4603,317.3200,0.7858,4.3646,4.5305,9.2720,"_",9.6770,7.6455,81.9975,3.2872,1.5516,4.3786,1.5336,7.1554,8.4471,15076.4200,4.2827,72.7413,1309.1200,19.4182,4.7655,1.6577,51.3260,1.5607,39.4910,18.0474
"12 ENE 2016",1.0836,127.7900,1.0855,0.75080,1.9558,27.0210,7.4612,317.7500,0.7840,4.3568,4.5333,9.2483,"_",9.6388,7.6672,82.6895,3.2842,1.5460,4.3704,1.5370,7.1276,8.4094,14965.6000,4.2711,72.4603,1308.8700,19.2772,4.7830,1.6547,51.2960,1.5570,39.3680,17.9737
"13 ENE 2016",1.0816,127.7400,1.0926,0.75020,1.9558,27.0210,7.4614,315.4300,0.7838,4.3458,4.5300,9.2460,"_",9.5588,7.6670,82.3098,3.2626,1.5413,4.3214,1.5381,7.1121,8.3922,14947.9800,4.2635,72.3212,1301.1800,19.2779,4.7382,1.6519,51.2830,1.5492,39.2030,17.8353
"14 ENE 2016",1.0893,128.2600,1.0950,0.75703,1.9558,27.0210,7.4624,315.9700,0.7865,4.3730,4.5348,9.2850,"_",9.6071,7.6660,83.2007,3.3025,1.5695,4.3730,1.5647,7.1809,8.4775,15155.0600,4.2986,73.4516,1320.7700,19.5529,4.7855,1.6903,52.0760,1.5670,39.5520,18.0475
"15 ENE 2016",1.0914,127.8000,1.0951,0.76150,1.9558,27.0210,7.4631,314.3500,0.7888,4.4129,4.5375,9.3474,"_",9.6085,7.6655,84.6924,3.3208,1.5895,4.4139,1.5849,7.1888,8.5057,15268.1100,4.3125,73.9860,1328.9700,19.7876,4.8281,1.7103,52.2810,1.5735,39.7050,18.2254
"18 ENE 2016",1.0892,127.7800,1.0946,0.76263,1.9558,27.0370,7.4633,315.4200,"_",4.4606,4.5365,9.3411,"_",9.6878,7.6635,86.1920,3.3102,1.5810,4.3929,1.5800,7.1658,8.4939,15163.4500,4.3090,73.7266,1317.4400,19.8703,4.7887,1.6862,52.0360,1.5674,39.5160,18.2882
"19 ENE 2016",1.0868,128.1200,1.0922,0.76473,1.9558,27.0230,7.4628,314.5600,0.7871,4.4384,4.5305,9.3231,"_",9.6209,7.6555,85.2445,3.3030,1.5673,4.3758,1.5750,7.1496,8.4841,15009.5500,4.3025,73.4840,1306.8900,19.6912,4.7530,1.6763,51.7400,1.5592,39.4280,18.1115
"20 ENE 2016",1.0907,127.2800,1.0932,0.77000,1.9558,27.0420,7.4638,314.7600,0.7890,4.4702,4.5326,9.3431,"_",9.6650,7.6670,88.2005,3.3307,1.5916,4.4559,1.5965,7.1768,8.5366,15228.2000,4.3360,74.1627,1326.4600,20.0427,4.7936,1.7134,52.2190,1.5697,39.5820,18.2896
"21 ENE 2016",1.0893,127.4300,1.0949,0.77182,1.9558,27.0640,7.4630,314.4200,0.7884,4.4943,4.5316,9.3527,"_",9.7033,7.6710,91.7660,3.3098,1.5755,4.5230,1.5750,7.1666,8.5181,15149.9900,4.3277,74.0684,1321.6400,20.2120,4.7818,1.6940,52.1660,1.5670,39.5030,18.1453
"22 ENE 2016",1.0808,127.7700,1.0950,0.75459,1.9558,27.0260,7.4621,312.2000,0.7836,4.4587,4.5273,9.2738,"_",9.4685,7.6690,85.8930,3.2572,1.5380,4.4550,1.5316,7.1104,8.4204,14952.6000,4.2945,73.0945,1292.8300,20.0160,4.6308,1.6606,51.5800,1.5421,38.9210,17.8143
"25 ENE 2016",1.0815,128.0700,1.0981,0.75890,1.9558,27.0210,7.4624,312.7000,0.7850,4.4690,4.5256,9.2758,"_",9.4585,7.6695,86.0410,3.2660,1.5496,4.4276,1.5351,7.1156,8.4304,14985.1500,4.3031,73.2973,1293.5300,19.9970,4.6208,1.6728,51.8900,1.5469,38.8690,17.8580
"26 ENE 2016",1.0837,128.2200,1.1008,0.76095,1.9558,27.0210,7.4622,312.7300,0.7864,4.4942,4.5348,9.2644,"_",9.4858,7.6658,86.7725,3.2699,1.5550,4.4465,1.5411,7.1314,8.4498,15004.7600,4.3084,73.5797,1303.8200,20.1259,4.6335,1.6777,52.0510,1.5498,38.8650,17.8881
"27 ENE 2016",1.0888,128.9100,1.1068,0.75965,1.9558,27.0250,7.4625,313.8500,0.7883,4.4710,4.5388,9.2591,"_",9.4508,7.6685,85.2106,3.2560,1.5461,4.3963,1.5331,7.1621,8.4861,15090.9300,4.3252,74.0928,1308.9400,20.0040,4.6203,1.6739,52.1620,1.5542,38.9630,17.7803
"28 ENE 2016",1.0903,129.6200,1.1053,0.76228,1.9558,27.0210,7.4626,313.3700,0.7887,4.4534,4.5400,9.3046,"_",9.4465,7.6593,83.5018,3.2485,1.5419,4.4753,1.5357,7.1705,8.4955,15116.2200,4.3130,74.3857,1316.3600,19.9966,4.5772,1.6874,52.1160,1.5556,39.0670,17.7785
"29 ENE 2016",1.0920,132.2500,1.1144,0.76410,1.9558,27.0260,7.4628,312.0300,0.7910,4.4398,4.5352,9.3483,"_",9.4845,7.6600,82.8472,3.2365,1.5388,4.4294,1.5363,7.1810,8.5101,14967.6400,4.3084,74.1039,1318.6000,20.0054,4.5296,1.6788,52.0820,1.5550,38.9730,17.4927
